date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat
2021/6/5,109,9,90,9,83,7,0,0,2
2021/6/6,87,6,79,13,75,4,0,0,1
2021/6/7,82,6,84,10,81,2,1,0,2
2021/6/8,76,5,73,13,71,2,0,0,2
2021/6/9,75,11,93,9,88,5,0,0,2
2021/6/10,73,6,68,6,61,7,0,0,2
2021/6/11,84,16,66,2,61,5,0,0,2
2021/6/12,76,5,83,7,79,4,0,0,2
2021/6/13,64,6,73,6,67,5,1,0,1
2021/6/14,60,3,91,8,86,5,0,0,2
2021/6/15,101,9,79,10,74,5,0,0,2
2021/6/16,73,9,81,12,76,5,0,0,2
2021/6/17,60,2,81,11,76,5,0,0,2
2021/6/18,74,6,81,11,73,8,0,0,2
2021/6/19,72,11,67,13,63,4,0,0,2
2021/6/20,60,7,75,11,64,11,0,0,2
2021/6/21,69,5,81,12,72,9,0,0,2
2021/6/22,77,11,88,13,78,10,0,0,2
2021/6/23,83,10,84,11,72,12,0,0,2
2021/6/24,84,11,81,15,70,11,0,0,2
2021/6/25,82,17,78,5,66,12,0,0,2
2021/6/26,81,10,88,13,75,13,0,0,2
2021/6/27,60,9,72,12,56,15,1,0,2
2021/6/28,57,4,91,7,80,10,1,0,1
2021/6/29,107,14,91,20,74,16,1,0,3
2021/6/30,62,7,110,15,88,22,0,0,2
2021/7/1,84,9,98,19,85,12,1,0,2
2021/7/2,73,13,107,18,94,11,2,0,2
2021/7/3,107,14,118,15,92,25,1,0,2
2021/7/4,63,7,114,14,94,19,1,0,2
2021/7/5,77,13,100,16,78,22,0,0,2
2021/7/6,103,12,113,12,84,29,0,0,3
2021/7/7,91,10,155,17,123,32,0,0,3
2021/7/8,135,20,158,38,118,38,2,0,3
2021/7/9,77,8,182,24,122,55,5,0,2
2021/7/10,87,8,149,32,111,35,3,0,3
2021/7/11,90,10,184,34,136,47,1,0,2
2021/7/12,103,14,176,51,128,45,3,0,2
2021/7/13,125,16,193,28,145,47,1,0,2
2021/7/14,118,13,179,34,126,50,3,0,2
2021/7/15,110,15,210,36,153,54,3,0,2
2021/7/16,115,24,214,41,153,58,3,0,3
2021/7/17,138,18,264,46,193,68,3,0,2
2021/7/18,153,24,236,43,169,63,4,0,2
2021/7/19,129,13,223,33,156,65,2,0,2
2021/7/20,93,10,278,58,196,79,3,0,1
2021/7/21,199,33,272,53,174,88,10,0,4
2021/7/22,134,22,266,48,166,92,8,0,2
2021/7/23,144,8,289,55,178,100,11,0,2
2021/7/24,184,32,299,59,191,94,14,0,3
2021/7/25,92,8,303,56,204,92,7,0,2
2021/7/26,207,14,269,64,179,80,10,0,3
2021/7/27,207,31,276,74,201,63,12,0,3
2021/7/28,143,14,321,62,208,99,14,0,2
2021/7/29,174,28,289,66,193,78,18,0,2
2021/7/30,134,9,327,88,217,102,8,0,2
2021/7/31,165,12,312,85,194,103,15,0,3
2021/8/1,160,20,326,98,211,101,14,0,3
2021/8/2,219,21,375,96,224,136,15,0,3
2021/8/3,195,34,340,84,206,112,22,0,3
2021/8/4,257,21,307,79,197,90,20,0,4
2021/8/5,164,22,313,64,205,90,18,0,3
2021/8/6,160,24,358,90,220,115,23,0,3
2021/8/7,210,34,334,71,213,104,17,0,4
2021/8/8,360,85,320,78,213,88,19,0,8
2021/8/9,212,16,305,64,204,89,12,0,3
2021/8/10,201,34,408,118,250,122,36,0,4
2021/8/11,211,16,288,65,181,88,19,0,4
2021/8/12,318,93,294,56,164,103,27,0,5
2021/8/13,277,96,263,32,159,82,22,0,6
2021/8/14,260,68,276,59,165,84,27,0,5
2021/8/15,282,101,289,67,166,104,19,0,4
2021/8/16,274,77,291,61,177,89,25,0,5
2021/8/17,293,44,253,65,166,67,20,0,4
2021/8/18,225,35,278,71,167,83,28,0,3
2021/8/19,178,35,257,69,160,71,26,0,3
2021/8/20,233,60,233,52,142,69,22,0,4
2021/8/21,223,35,248,60,155,64,29,0,4
2021/8/22,232,43,303,73,189,73,41,0,4
2021/8/23,174,21,273,57,175,71,27,0,3
2021/8/24,211,40,187,66,112,52,23,0,3
2021/8/25,265,69,235,52,159,51,25,0,5
2021/8/26,393,100,270,56,160,81,29,0,6
2021/8/27,339,99,236,55,142,70,24,0,8
2021/8/28,252,31,238,62,146,58,34,0,3
2021/8/29,285,51,245,69,153,56,36,0,4
2021/8/30,294,53,273,68,191,53,29,0,3
2021/8/31,282,98,256,63,162,51,43,0,6
2021/9/1,278,65,268,61,164,55,49,0,3
2021/9/2,249,80,227,54,138,61,28,0,4
2021/9/3,330,93,217,53,135,49,33,0,6
2021/9/4,362,104,228,47,143,57,28,0,5
2021/9/5,336,107,249,51,132,65,52,0,7
2021/9/6,272,81,233,52,156,41,36,0,4
